Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
43478-903,Fabaceae,"Unspecified open wound of left breast, sequela",Infec otitis externa NOS,Propranolol Hydrochloride,Sutherland Hodjetts,(641) 5179992,74 Fairview Drive
58411-219,Ericaceae,"Pressure ulcer of right upper back, stage 1",Anaphyl d/t adm bld/prod,SHISEIDO SHEER AND PERFECT COMPACT (REFILL),Carolus Boatright,(622) 8232610,15118 Bowman Terrace
24478-210,Dicranaceae,"Contusion of left lesser toe(s) with damage to nail, subsequent encounter",Other acq back deformity,Quillivant,Ron Humphery,(847) 2013512,867 Forest Dale Plaza
21130-141,Scrophulariaceae,"Parasitic endophthalmitis, unspecified, right eye",Neonatal thrombocytopen,acid controller,Oralee Kocher,(916) 6952409,343 Dennis Alley
0024-0393,Hydrophyllaceae,"Unspecified fracture of sternum, initial encounter for open fracture",Capillariasis,DRISDOL,Kristopher McCloid,(207) 2191461,05 Derek Center
59427-112,Zygophyllaceae,"Nondisplaced comminuted fracture of shaft of ulna, right arm, initial encounter for closed fracture",Pseudomemb conjunctivit,Dr. Andrew Weil for Origins,Constancy Biasioli,(458) 1085116,2126 Badeau Parkway
51801-007,Liliaceae,"Fracture of superior rim of right pubis, subsequent encounter for fracture with routine healing",3rd brn w loss-fngr/thmb,Effer-K,Bing Friedenbach,(334) 7879725,096 Pleasure Street
36987-1008,Asteraceae,"Primary blast injury of lung, unilateral, initial encounter",Fet grwth ret 1250-1499g,Cattle Epithelium,Barrett Marzelle,(336) 4129611,74517 Banding Place
52125-110,Rutaceae,Intentional collision of motor vehicle with tree,Boat submers-water skier,Mirtazapine,Padraic Kerrod,(312) 5163318,6678 Meadow Vale Place
61010-8100,Salicaceae,Idiopathic hypotension,Renal hyperten pg-deliv,Pain Relief,Jesse Stannion,(850) 8689247,766 Weeping Birch Way
10019-037,Meliaceae,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm",Legal abort uncompl-comp,Fentanyl Citrate,Benedikta Raiman,(360) 2439444,11 Lighthouse Bay Terrace
60512-9069,Cyperaceae,"Other juvenile arthritis, left elbow",Anom digestive syst NOS,TRAVEL SICKNESS RELIEF,Tandi Ambrogiotti,(352) 9094551,9670 Roth Alley
57520-1005,Asteraceae,"Nondisplaced transverse fracture of unspecified patella, initial encounter for closed fracture",Compl marrow transplant,Hepataplex,Cecile Baison,(877) 8454645,7137 Continental Park
36800-308,Campanulaceae,"Salter-Harris Type II physeal fracture of lower end of unspecified fibula, subsequent encounter for fracture with routine healing",Falciparum malaria,Topcare Cold Multi Symptom Severe,Sinclare Hardaker,(702) 8360265,80 Armistice Road
55312-002,Poaceae,"Nondisplaced longitudinal fracture of unspecified patella, initial encounter for open fracture type IIIA, IIIB, or IIIC",Abn ftl hrt rate/rhy-ant,WESTERN FAMILY Alcohol Swabs,Blondy Ragless,(889) 4393826,47538 Namekagon Point
43063-415,Onagraceae,"Drug-induced chronic gout, left hand",Fx condyl proc mandib-cl,Prednisone,Toddy Vanne,(980) 4213844,377 Moland Circle
98132-136,Asteraceae,"Other injury of rectum, subsequent encounter",Act myl leuk w rmsion,BareMinerals Tan Matte,Glennis Hospital,(581) 3415346,0 Ryan Junction
60951-186,Sterculiaceae,"Ultralight, microlight or powered-glider crash injuring occupant",Lacrimal gland dislocat,Losartan Potassium,Merline Leavens,(138) 5498426,8 Lakeland Road
49738-897,Rosaceae,"Nondisplaced fracture of proximal phalanx of left thumb, subsequent encounter for fracture with routine healing",Eating disorder NOS,smart sense ibuprofen,Wernher O'Rowane,(846) 1939038,609 Redwing Circle
55253-802,Fabaceae,Neoplasm of uncertain behavior of left adrenal gland,Oth powered aircraft acc,modafinil,Melloney MacLaverty,(906) 5031831,3 Union Alley
55154-5684,Saxifragaceae,Adverse effect of unspecified hormone antagonists,Amyloidosis NEC,Dicyclomine Hydrochloride,Haskell Scolland,(513) 2099992,6 Debra Alley
55648-107,Polemoniaceae,"Military operation involving nuclear radiation effects of nuclear weapon, military personnel, subsequent encounter",Alkal burn cornea/conjun,Bupropion Hydrochloride,Cirillo Harrell,(909) 7370141,1 Luster Place
17478-288,Violaceae,"Chronic periodontitis, localized, unspecified severity",Genetc sus mal neo prost,Timolol Maleate,Marthena Jersh,(904) 9178776,019 Briar Crest Point
0179-1952,Hypnaceae,"Displaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion",Mv coll w ped-mcycl psgr,Tamoxifen Citrate,Zeke Calken,(562) 7155093,976 Comanche Parkway
68258-8904,Collemataceae,Fracture of navicular [scaphoid] of foot,Hx monoclonal drug thrpy,Guaifenesin and Codeine Phosphate,Krysta Smewings,(481) 2547529,01627 Stuart Alley
0206-2409,Haloragaceae,"Unspecified dislocation of left middle finger, subsequent encounter",Grass drills,Zosyn,Onfroi Bourdel,(141) 6457886,20167 Armistice Trail
0268-0836,Araceae,"Chronic osteomyelitis with draining sinus, ankle and foot",Hypertrophy T and A,AUREOBASIDIUM PULLULANS VAR PULLULANS,Leonelle Dunderdale,(294) 7447902,07889 Northwestern Hill
51439-004,Asteraceae,"Displaced fracture of lateral malleolus of right fibula, initial encounter for open fracture type I or II",Explosion-occ power boat,Treatment 101,Selena Brendeke,(367) 7977278,368 Hermina Drive
55154-3915,Marsileaceae,Salter-Harris Type II physeal fracture of phalanx of toe,Cerebvas dis-deliv w p/p,SOLU-MEDROL,Eolande Sicha,(473) 4022397,8921 Mosinee Point
17089-372,Asteraceae,Subluxation stenosis of neural canal of upper extremity,Late syphilis latent,GUNA-EGF,Jammie Conneely,(442) 5683607,150 Mayfield Hill
57955-6058,Bromeliaceae,Superficial foreign body of unspecified back wall of thorax,War inj:explosion NOS,Gallbladder Formula,Pattie Vahey,(212) 9137663,45992 Westerfield Hill
63629-5036,Coccocarpiaceae,Unspecified reduction defect of left lower limb,Adv eff antipruritics,good neighbor pharmacy pain relief,Bari Mouget,(825) 5160604,7 Corben Plaza
43538-950,Polemoniaceae,"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with nonunion",Act lym leuk w rmsion,Clodan,Jordana Slegg,(704) 6363589,6844 Duke Way
0456-0400,Asteraceae,Secondary malignant neoplasm of left kidney and renal pelvis,Congen limb anomaly NEC,Teflaro,Kennan Reek,(726) 8649555,7599 Lighthouse Bay Point
55154-3528,Ranunculaceae,"Trisomy 21, translocation",Cerebel/brain stem lacer,Potassium Chloride,Margret Chimenti,(944) 8512885,20348 Independence Pass
52125-234,Poaceae,Salter-Harris Type III physeal fracture of lower end of radius,Lymphosarcoma mult,Ibuprofen,Shea Durram,(752) 6438493,6495 Sachtjen Court
21130-326,Rhamnaceae,"Laceration with foreign body of right great toe with damage to nail, subsequent encounter",Inj mesenteric vess NEC,Womens Laxative,Victor Halson,(322) 2986629,9746 Eastlawn Road
53808-0906,Encalyptaceae,Explosion of other materials,Central pain syndrome,Citalopram,Catlaina O'Donegan,(975) 9740637,7184 Bunting Point
11819-365,Cactaceae,"Poisoning by antimycobacterial drugs, assault, subsequent encounter",Oth myelitis ot inf else,Ondansetron,Arri Breward,(746) 7874505,29513 Armistice Junction
52125-376,Thelenellaceae,"Unspecified complication of foreign body accidentally left in body following endoscopic examination, subsequent encounter",Sprain of sacrum,Amlodipine Besylate,Sorcha Seabridge,(110) 4647574,6 Crownhardt Drive
58930-032,Asclepiadaceae,Contaminated medical or biological substances,Opn skull fx NEC-concuss,AHC Revitalizing Special Gen Cream,Ilise Scorey,(419) 9614222,6490 Warner Pass
16714-330,Boraginaceae,"Systemic lupus erythematosus, unspecified",Aftrcare traum fx up leg,Gabapentin,Livia Sergeaunt,(282) 5901066,558 Delladonna Avenue
36987-1248,Ranunculaceae,Cognitive deficits following nontraumatic intracerebral hemorrhage,Adv eff thyroid & deriv,Salmon,Noak Upstone,(936) 8722579,1 Melrose Hill
0113-0323,Myrtaceae,"Displaced comminuted fracture of shaft of humerus, right arm",Gastroschisis,Good Sense Lubricating Plus,Broderic Mellmer,(351) 1537315,2224 Old Gate Trail
0228-3060,Sphenocleaceae,"Maternal care for disproportion due to unusually large fetus, fetus 5",Ac osteomyelitis-up/arm,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, amphetamine sulfate",Palmer Oran,(830) 2291423,030 Valley Edge Lane
0093-6137,Orchidaceae,"Keratoconjunctivitis sicca, not specified as Sjogren's, unspecified eye",Early complic trauma NEC,Diazepam,Mathias Baddeley,(694) 6954513,37 Gulseth Hill
65044-3255,Juglandaceae,"Exposure to other furniture fire due to other burning material, subsequent encounter",1st deg burn hand NOS,"Food - Animal Products and Poultry Products, Egg, Yolk Gallus sp.",Artemus Mar,(612) 3699401,107 Service Crossing
55910-902,Polemoniaceae,Coalworker's pneumoconiosis,1st deg burn scapula,rexall ibuprofen,Avivah Dymond,(948) 2850005,17 Atwood Crossing
55315-503,Saxifragaceae,"Poisoning by inhaled anesthetics, assault, initial encounter",Salivary gland abscess,Non-Drowsy Cold Multi-Symptom Severe,Angelika Murray,(244) 9733363,6187 Rowland Street
68382-520,Caliciaceae,"Adolescent idiopathic scoliosis, cervical region",Juvenile neurosyph NOS,sirolimus,Valencia Davydkov,(380) 3862412,91 Blue Bill Park Crossing
49348-561,Oleaceae,"Medial subluxation of left ulnohumeral joint, subsequent encounter",Microphth w oth eye anom,SUNMARK CALCIUM ANTACID,Dorotea Leahair,(176) 8990158,7 Brown Avenue
60432-528,Chenopodiaceae,Other exposure to forces of nature,Abdmnal rgdt oth spcf st,Selenium Sulfide,Diego Sergison,(833) 9962553,0664 Transport Parkway
25021-307,Asteraceae,Injury of superficial palmar arch,Arthropathy NEC-up/arm,Adenosine,Deana O'Dooghaine,(616) 3286514,2 Magdeline Road
70253-307,Fabaceae,"Other injury due to other accident on board passenger ship, sequela",Attn to artif open NOS,Isopropyl Alcohol,Inna Ciciari,(560) 9709255,5751 Eastwood Road
0781-2164,Asteraceae,"Laceration of right Achilles tendon, initial encounter",Neurogenic bowel,ziprasidone hydrochloride,Bryn Bott,(310) 2202173,52668 Morningstar Parkway
13537-426,Fabaceae,"Peripheral tear of lateral meniscus, current injury, unspecified knee",Vaccin for dtp + tab,LBEL,Avery Ingleton,(830) 9006988,50 Anthes Terrace
49972-003,Cyperaceae,"Atrophy of globe, unspecified eye",Psorospermiasis,Carbon Dioxide,Arlyn Breazeall,(457) 8542212,8 Sachs Court
61715-108,Arthopyreniaceae,"Displaced subtrochanteric fracture of left femur, sequela",Human herpesvir 6 enceph,Preferred Plus Loperamide Hydrochloride,Darrelle Vlahos,(929) 3107378,84 Gerald Junction
68828-134,Juncaceae,"Nondisplaced fracture of medial phalanx of left little finger, initial encounter for open fracture",Allerg rhinitis-cat/dog,Pure Porcelain Skin Defense Makeup SPF 15,Northrup Fessions,(478) 5482453,7002 Spohn Park
55154-3326,Fabaceae,Unspecified occupant of bus injured in collision with fixed or stationary object in traffic accident,60-69% bdy brn/3 deg NOS,Omeprazole,Rouvin Jarman,(486) 8661165,0056 Chive Terrace
68428-147,Fabaceae,"Displaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with delayed healing",Cortx contus-prolng coma,Kali Carbonicum Kit Refill,Cordy Kave,(373) 8261436,62105 Bonner Plaza
58443-0033,Agavaceae,"Partial traumatic amputation of unspecified great toe, initial encounter",Gen osteoarthros-hand,Australian Gold,Nealon Lacrouts,(455) 3153475,948 Melby Junction
68016-142,Cactaceae,Newborn affected by abnormal uterine contractions,Pois-uric acid metabol,Day Time,Sibella Crolla,(414) 8427230,56 Brown Place
0085-1401,Annonaceae,"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",Int inf e coli entrpath,Foradil,Pernell Ladewig,(837) 9331981,1548 Summer Ridge Lane
60512-6780,Brassicaceae,"Type III traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",Open wound chest-compl,LEDUM PALUSTRE,Filmer Fiorentino,(945) 8477594,8084 Dexter Circle
49288-0858,Timmiaceae,"External constriction of left wrist, subsequent encounter",Leprosy NOS,Treatment Set TS346697,Hertha Acory,(866) 5995897,23 Summit Pass
29565-300,Rutaceae,"Nondisplaced fracture of medial condyle of left femur, subsequent encounter for closed fracture with malunion",Ped pre-brth vst-parent,Sunscreen Baby,Karyl Sweating,(124) 1141495,0680 Vera Place
51991-716,Teloschistaceae,"Unspecified injury of other blood vessels at lower leg level, left leg",TB periph lymph-unspec,Risperidone,Sean Ferber,(840) 1850481,3 Darwin Alley
24385-357,Fabaceae,"Nondisplaced transverse fracture of shaft of right femur, subsequent encounter for open fracture type I or II with delayed healing",Fam hx-ischem heart dis,Good Neighbor Pharmacy Antacid,Edd Restill,(145) 8746834,176 Northfield Circle
16590-003,Scrophulariaceae,"Enteropathic arthropathies, right elbow",Acute post-thoracot pain,ACYCLOVIR,Rad Pibworth,(419) 2018583,23 Carey Center
53208-444,Polemoniaceae,"Displaced transverse fracture of shaft of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",Typhoid carrier,Sooryehan Pure Whitening Spot Treatment,Drusi Dow,(871) 7760520,81120 Golf Lane
64725-1834,Euphorbiaceae,"Displaced avulsion fracture of right ischium, subsequent encounter for fracture with nonunion",Compl reattached foot,Novolin,Blisse Tosspell,(377) 5821524,3303 Carey Junction
59886-326,Myrtaceae,"Laceration of intrinsic muscle, fascia and tendon of left ring finger at wrist and hand level, subsequent encounter",Breast infect NEC-deliv,UltrasolSunscreen,Raddie Losel,(382) 2116736,3 Oak Valley Street
57520-0157,Saxifragaceae,Garage of reform school as the place of occurrence of the external cause,Twin pregnancy-delivered,Sore Throat,Nicoline Balston,(959) 6184887,24 Katie Crossing
21695-420,Fumariaceae,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm",Histoplasm dub pericard,Ibuprofen,Oswald Petrulis,(322) 7566166,089 Waxwing Trail
59667-0061,Malvaceae,Adverse effect of analeptics and opioid receptor antagonists,Initial lesions yaws,Menstrual Cramps Front,Parke Dray,(202) 3519289,596 International Drive
67692-001,Anthocerotaceae,"Glasgow coma scale score 9-12, unspecified time",Ca in situ breast,Lumene Vitamin C BB Illuminating Anti-Age BB Sunscreen Broad Spectrum SPF 20 Light,Odell Ville,(988) 1716591,36 Annamark Place
51285-444,Gesneriaceae,"Nondisplaced fracture of body of hamate [unciform] bone, right wrist",TB of joint NEC-cult dx,Cenestin,Fielding Pancost,(177) 6833476,56 Lerdahl Hill
60429-273,Salicaceae,"Other sprain of right index finger, initial encounter",Incomplete defecation,Primidone,Julius Lydiard,(745) 8043374,0693 Oak Circle
43742-0024,Cyperaceae,"Other fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with delayed healing",Intestinal obstruct NOS,Professional Weight Support,Johannes Pownall,(346) 4618282,539 Carberry Way
41163-251,Asteraceae,Unspecified sprain of left hip,Mononeuritis leg NOS,EQUALINE TOLNAFTATE ANTIFUNGAL,Patsy Bernaldez,(915) 5957702,12248 Melby Trail
51346-045,Asteraceae,"Pathological fracture in neoplastic disease, right tibia, initial encounter for fracture",Basketball,SNAIL THERAPY 50 BB,Augie Malin,(233) 4113964,709 Duke Avenue
61852-978,Schizaeaceae,"Person boarding or alighting from bus injured in collision with pedestrian or animal, sequela",Diarrhea of infect orig,MANICURE BY OPI - FINISHING BUTTER,Kati Tattoo,(681) 2984482,1407 Waywood Terrace
49967-078,Cyperaceae,"Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with routine healing",Saccadic eye movmnt def,Kiehls Since 1851 Activated Sun Protector For Body Broad Spectrum SPF 50 Sunscreen,Jolee Martineau,(301) 2470267,9 Lakewood Point
11084-129,Poaceae,"Nondisplaced fracture of intermediate cuneiform of left foot, subsequent encounter for fracture with routine healing",Resp TB NEC-unspec,Safe-T-Fresh Alcohol Free Hand Sanitizer,Lyndy Renouf,(237) 2666400,7928 Milwaukee Place
0085-1737,Asteraceae,"Brown-Sequard syndrome at C4 level of cervical spinal cord, sequela",Fetal mal 1500-1749g,Avelox,Mara Lownes,(512) 8458533,0915 Little Fleur Parkway
57367-033,Ranunculaceae,"Toxic effect of arsenic and its compounds, assault, subsequent encounter",Adv eff eye anti-inf/drg,THERABREATH TOOTHPASTE,Penni Simmonds,(518) 9449143,8 Fairview Parkway
64942-1066,Buddlejaceae,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, undetermined, initial encounter",Screen-rheumat dis NEC,Degree For Women Classic Romance,Sherwynd Presidey,(868) 8291563,97 Calypso Trail
68258-8976,Cuscutaceae,"Calcific tendinitis, right lower leg",Obstruct labor NOS-deliv,Xalatan,Arnold Wrassell,(200) 4729697,29659 Graceland Junction
57955-5028,Fabaceae,"Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",Bipol I manic-sev w psy,Migraine Relief,Lela Guiton,(226) 7008063,55 Village Green Alley
0185-0342,Poaceae,"Unspecified fracture of lower end of right humerus, initial encounter for closed fracture",Abnorm secretion gastrin,Fosinopril Sodium and Hydrochlorothiazide,Vanya Eskriet,(239) 1613689,5 Hanover Trail
